Jose Soto
Program 3

Key         List          Array
ula         0.041 s    0.000 s
ggon        0.034 s    0.000 s
ph          0.035 s    0.000 s
hm          0.036 s    0.000 s
ri          0.040 s    0.000 s
sl          0.044 s    0.000 s
ck          0.039 s    0.000 s
smo         0.039 s    0.000 s
acit        0.041 s    0.000 s
eceme       0.041 s    0.000 s
ittle       0.043 s    0.000 s
st          0.037 s    0.000 s
ho          0.031 s    0.000 s
sloga       0.031 s    0.000 s
ded         0.029 s    0.000 s
una         0.030 s    0.000 s
nnie        0.036 s    0.000 s
tle         0.037 s    0.000 s
ic          0.042 s    0.000 s
to          0.041 s    0.000 s
cher        0.036 s    0.000 s
pu          0.043 s    0.000 s
rid         0.050 s    0.000 s
te          0.069 s    0.000 s
cur         0.051 s    0.000 s
ibe         0.062 s    0.000 s
nr          0.053 s    0.000 s
yroly       0.032 s    0.000 s
ches        0.051 s    0.000 s
epl         0.066 s    0.000 s
ip          0.056 s    0.000 s
eri         0.035 s    0.000 s
lect        0.032 s    0.000 s
cere        0.033 s    0.000 s
ct          0.039 s    0.000 s
issem       0.045 s    0.000 s
yway        0.028 s    0.000 s
over        0.032 s    0.000 s
gaud        0.039 s    0.000 s
na          0.039 s    0.000 s
cros        0.034 s    0.000 s
embr        0.039 s    0.000 s
nsm         0.038 s    0.000 s
hias        0.036 s    0.000 s
et          0.044 s    0.000 s
eg          0.036 s    0.000 s
fall        0.029 s    0.000 s
lur         0.031 s    0.000 s
ani         0.034 s    0.000 s
ndli        0.031 s    0.000 s
nd          0.032 s    0.000 s
al          0.035 s    0.000 s
ait         0.033 s    0.000 s
cher        0.031 s    0.000 s
il          0.034 s    0.000 s
ill         0.034 s    0.000 s
rolit       0.033 s    0.000 s
ri          0.033 s    0.000 s
ilki        0.032 s    0.000 s
ee          0.035 s    0.000 s
talw        0.031 s    0.000 s
fluo        0.029 s    0.000 s
gue         0.031 s    0.000 s
ardin       0.040 s    0.000 s
ophil       0.042 s    0.000 s
nd          0.036 s    0.000 s
ower        0.031 s    0.000 s
esuit       0.033 s    0.000 s
wolf        0.034 s    0.000 s
lum         0.035 s    0.000 s
ou          0.040 s    0.000 s
pli         0.040 s    0.000 s
ato         0.037 s    0.000 s
oph         0.037 s    0.000 s
um          0.043 s    0.000 s
pp          0.038 s    0.000 s
naff        0.031 s    0.000 s
pa          0.030 s    0.000 s
reop        0.032 s    0.000 s
pe          0.031 s    0.000 s
nogr        0.046 s    0.000 s
eg          0.054 s    0.000 s
dilut       0.030 s    0.000 s
fo          0.028 s    0.000 s
strid       0.031 s    0.000 s
orten       0.036 s    0.000 s
ch          0.031 s    0.000 s
polyi       0.030 s    0.000 s
eh          0.035 s    0.000 s
tr          0.032 s    0.000 s
abas        0.032 s    0.000 s
ox          0.041 s    0.000 s
ebr         0.053 s    0.000 s
elfs        0.043 s    0.000 s
ng          0.032 s    0.000 s
stro        0.031 s    0.000 s
lunt        0.031 s    0.000 s
rtico       0.031 s    0.000 s
coma        0.030 s    0.000 s
er          0.034 s    0.000 s
nder        0.031 s    0.000 s
fu          0.028 s    0.000 s
ino         0.035 s    0.000 s
erse        0.033 s    0.000 s
hras        0.029 s    0.000 s
tio         0.032 s    0.000 s
ipy         0.034 s    0.000 s
aster       0.032 s    0.000 s
unky        0.031 s    0.000 s
red         0.046 s    0.000 s
mate        0.046 s    0.000 s
nne         0.053 s    0.000 s
lyse        0.043 s    0.000 s
utfig       0.034 s    0.000 s
da          0.050 s    0.000 s
ang         0.052 s    0.000 s
kat         0.028 s    0.000 s
infe        0.032 s    0.000 s
ts          0.042 s    0.000 s
entha       0.056 s    0.000 s
craal       0.039 s    0.000 s
eta         0.033 s    0.000 s
rs          0.033 s    0.000 s
es          0.047 s    0.000 s
amen        0.054 s    0.000 s
ophi        0.033 s    0.000 s
eid         0.033 s    0.000 s
re          0.032 s    0.000 s
atte        0.039 s    0.000 s
fo          0.035 s    0.000 s
tati        0.031 s    0.000 s
imp         0.034 s    0.000 s
holar       0.029 s    0.000 s
mat         0.029 s    0.000 s
more        0.031 s    0.000 s
in          0.034 s    0.000 s
tine        0.032 s    0.000 s
ecti        0.032 s    0.000 s
ed          0.034 s    0.000 s
ieg         0.034 s    0.000 s
at          0.039 s    0.000 s
ro          0.040 s    0.000 s
uitab       0.030 s    0.000 s
cato        0.040 s    0.000 s
tica        0.050 s    0.000 s
triot       0.037 s    0.000 s
es          0.034 s    0.000 s
ss          0.031 s    0.000 s
